Carrier/Switch;Interface;L3_Termination_Point;Vlans;TAG;ASN;LIR Prefix;PtP1 (eier);PtP2 (kolettir)
eie2-asw.grnet.gr;xe-0/0/3;eie.grnet.gr;100;BENAK;64900;194.177.198.152/29;62.217.77.172/31;0
eie2-asw.grnet.gr;xe-0/0/4;eie.grnet.gr;101;LAIKO;64901;195.130.89.120/29;62.217.77.176/31;0
dimokritos2.grnet.gr;0;dimokritos2.grnet.gr;100;GNAGENIM;64902;195.130.89.96/29;62.217.77.180/31;0
eie2-asw.grnet.gr;xe-0/0/5;eie.grnet.gr;102;IPPOKRATH;64903;194.177.198.240/29;62.217.77.90/31;0
dimokritos2.grnet.gr;0;dimokritos2.grnet.gr;100;SOTIRIA;64904;83.212.248.144/29;62.217.77.184/31;0
ypepth-asw.grnet.gr;xe-0/0/3;ype.grnet.gr;100;GNASISMAN;64905;195.251.59.0/29;62.217.77.188/31;0
ypepth-asw.grnet.gr;xe-0/0/4;ype.grnet.gr;101;KONST;64906;195.251.59.8/29;62.217.77.192/31;0
 ;0;eie.grnet.gr;0;PAMMAK;64907;195.251.118.128/29;62.217.77.196/31;0
ypepth-asw.grnet.gr;xe-0/0/5;ype.grnet.gr;102;KAT;64908;195.251.118.136/29;62.217.77.200/31;0
niarchos-asw.grnet.gr;xe-0/0/3;koletti.grnet.gr;100;ASKL;64909;195.251.118.144/29;62.217.77.204/31;0
eie2-asw.grnet.gr;xe-0/0/6;eie.grnet.gr;103;ALEXAN;64910;195.251.118.152/29;62.217.77.208/31;0
eie2-asw.grnet.gr;xe-0/0/7;eie.grnet.gr;104;VENIZ;64911;195.251.118.160/29;62.217.77.212/31;0
eie2-asw.grnet.gr;xe-0/0/8;eie.grnet.gr;105;AGSOFIA;65146;195.130.89.48/28;62.217.101.64/31;62.217.101.66/31
eie2-asw.grnet.gr;xe-0/0/9;eie.grnet.gr;106;AGLAIA;65147;195.130.89.40/29 ;62.217.101.68/31;62.217.101.70/31
eie2-asw.grnet.gr;xe-0/0/10;eie.grnet.gr;107;AGSAVVAS;65145;195.130.89.32/29 ;62.217.101.60/31;62.217.101.62/31
niarchos-asw.grnet.gr;xe-0/0/4;koletti.grnet.gr;101;TZAN;64912;195.251.118.168/29;62.217.77.216/31;0
niarchos-asw.grnet.gr;xe-0/0/5;koletti.grnet.gr;102;AGPANT;64913;195.251.118.176/29;62.217.77.220/31;0
niarchos-asw.grnet.gr;xe-0/0/6;koletti.grnet.gr;103;THRIASIO;65015;195.130.89.112/29;62.217.101.232/31;62.217.101.234/31
niarchos-asw.grnet.gr;xe-0/0/7;koletti.grnet.gr;104;METAXA;64914;195.251.118.184/29;62.217.77.224/31;0
auth-asw.grnet.gr;0;thessaloniki.grnet.gr;0;PAPAN;64915;195.251.118.192/29;62.217.77.228/31;0
